world_size,repeat,env_id,rollout_steps,num_envs,global_batch,mean_fps,mean_t_iter,mean_t_rollout,mean_t_learn,mean_t_sync,sync_frac
1,0,CartPole-v1,64,8,512,34985.83982612134,0.01463672064999173,0.009423452000055477,0.0049666688499200974,3.1083000294529483e-06,0.00021236314498184432
2,0,CartPole-v1,64,4,512,27694.948471213705,0.018907589449895568,0.009022025049989679,0.008749981150072018,0.0001272625999945376,0.006730768104087456
4,0,CartPole-v1,64,2,512,14262.596095380506,0.03707715420002842,0.012544243750016903,0.022090129249932033,0.00028278550000777615,0.0076269472700674365
