world_size,repeats,env_id,rollout_steps,num_envs_per_worker,global_batch,fps_mean,fps_std,t_iter_mean,t_iter_std,speedup_vs_w1,efficiency,sync_frac_mean
1,1,CartPole-v1,64,8,512,34985.83982612134,0.0,0.01463672064999173,0.0,1.0,1.0,0.00021236314498184432
2,1,CartPole-v1,64,4,512,27694.948471213705,0.0,0.018907589449895568,0.0,0.7916045065334101,0.39580225326670504,0.006730768104087456
4,1,CartPole-v1,64,2,512,14262.596095380506,0.0,0.03707715420002842,0.0,0.4076676783025709,0.10191691957564272,0.0076269472700674365
